value,type,result,date
203.0.113.5,IP,"{""malicious"": 0, ""suspicious"": 0, ""undetected"": 35, ""harmless"": 60, ""timeout"": 0}",2025-09-28T17:53:40.930806+00:00
10.0.0.25,IP,"{""malicious"": 0, ""suspicious"": 0, ""undetected"": 33, ""harmless"": 62, ""timeout"": 0}",2025-09-28T17:53:42.560251+00:00
172.16.0.7,IP,"{""malicious"": 0, ""suspicious"": 0, ""undetected"": 34, ""harmless"": 61, ""timeout"": 0}",2025-09-28T17:53:44.262375+00:00
192.168.1.10,IP,"{""malicious"": 0, ""suspicious"": 0, ""undetected"": 34, ""harmless"": 61, ""timeout"": 0}",2025-09-28T17:53:45.955034+00:00
